#{"t_start": 1761551239.1125705, "env_id": "None"}
r,l,t
-288.858856,1873,1778.016253
-217.690467,1467,1780.567948
-1.366266,424,1791.277646
-276.443352,1586,1794.055103
-190.075514,1028,1796.077176
-245.588583,1124,1798.244988
96.17465,340,1799.329302
-218.562303,2225,1802.997765
-218.7593,1232,1805.224
-225.625595,936,1816.659342
-317.447642,2116,1820.299672
-384.214193,1235,1822.466158
-258.300181,1609,1825.26297
-108.652623,1362,1827.720762
-307.798175,1025,1829.71068
-307.996036,1360,1841.295445
-178.257072,986,1843.156696
-241.889728,1880,1846.476881
-343.429063,2032,1849.775888
-157.029112,928,1851.677229
-285.855064,918,1853.529179
-206.01034,1601,1864.164528
-273.328377,1058,1866.158911
-201.395932,683,1867.674221
-276.409914,1514,1870.566425
-3.769531,340,1871.615376
90.997891,340,1872.673922
34.713593,443,1873.886194
-154.861563,1062,1875.870523
-397.78598,1659,1886.76172
-306.516859,2700,1890.909178
-311.087895,978,1892.811301
-188.583989,800,1894.569288
-145.900941,923,1896.482233
-321.415062,2406,1908.7909
-135.721465,1083,1910.849613
-341.766334,1186,1912.992625
-173.103196,831,1914.797619
-308.489498,1217,1917.016118
-183.850486,2237,1920.663596
-178.501221,1768,1932.036957
-232.09839,676,1933.587831
-359.372418,1223,1935.821723
-117.299254,1567,1938.671296
-188.911724,2700,1942.895334
-251.461583,2700,1954.566987
-189.182376,1826,1957.651056
98.994639,340,1958.700888
-450.399896,1569,1961.486209
-390.332195,2700,1965.902882
-225.933142,771,1975.367966
83.794385,340,1976.439556
-267.480447,2364,1980.102832
-192.595957,1088,1982.251773
21.179029,340,1983.308959
-118.194137,2700,1987.660381
-308.15426,2700,2000.203687
-294.646479,1980,2003.497066
-309.556225,2700,2007.736503
56.933336,340,2008.799215
-49.269136,340,2009.835261
-262.019878,1834,2021.532312
-17.243257,340,2022.732347
-329.175198,2019,2026.080952
-150.52742,830,2027.810189
-242.047038,1182,2030.030593
-68.09455,414,2031.154578
-253.306366,1320,2033.673784
-7.672191,414,2034.831189
-368.976196,2251,2046.056843
-27.846659,1704,2049.007933
-281.716081,2037,2052.463129
-221.516181,1160,2054.637663
132.193047,416,2055.7877
-208.009038,2006,2066.539039
16.856359,414,2067.753274
61.349235,340,2068.822156
-196.436938,1522,2071.475081
-424.586499,1848,2074.560852
-259.775528,1163,2076.792303
-234.595765,1304,2079.360654
-152.56164,1351,2088.939133
-195.714436,1732,2091.893877
-191.223446,2700,2096.217711
-232.542138,959,2098.084012
-205.955,687,2099.610683
-89.451053,1215,2101.797572
-197.13654,1796,2113.640373
-196.497762,732,2115.234018
-309.800292,951,2117.089688
-267.930144,1085,2119.300846
91.294856,414,2120.452178
-181.704914,1757,2123.408828
-207.791447,773,2125.016552
-299.26405,1431,2135.296586
-322.586307,1832,2138.43855
-424.385124,2023,2141.820155
-244.865347,1170,2143.952367
-184.487984,1373,2146.551454
-370.896317,1805,2157.638876
-210.939065,1090,2159.697959
-384.785846,2663,2164.098839
59.902396,456,2165.254649
-85.202962,1187,2167.461535
-192.669188,1075,2169.464903
-234.6095,1819,2182.220771
-322.318578,2158,2185.687894
-616.023678,2221,2189.417729
-205.839582,1602,2192.056961
113.933802,340,2193.112185
87.647872,340,2194.195507
-239.755147,1001,2203.986972
-404.086763,1518,2206.733057
-78.200695,2700,2211.096884
-259.613561,1964,2214.401726
-245.819783,1518,2224.387699
14.674932,340,2225.557399
-244.982834,2358,2229.310857
-206.351441,827,2231.0314
-243.682407,1402,2233.640764
-267.737792,2700,2237.842406
-296.004684,1770,2249.300491
-390.063509,2700,2253.565485
16.883847,423,2254.709563
-211.223378,1615,2257.614458
-361.650371,1974,2268.550675
-337.882417,1293,2270.901665
-175.268813,1465,2273.488271
-302.423931,2158,2277.060751
78.664702,417,2278.224409
-29.94285,423,2279.339388
-299.057362,1385,2281.714659
-186.540678,2285,2293.936808
-21.648495,415,2295.084389
-198.765051,2443,2298.892695
52.963464,414,2300.013097
-230.639013,2700,2304.409557
-293.101925,1771,2315.477426
-416.59817,2127,2319.01281
-319.095451,1890,2322.153807
-218.268354,750,2323.839872
-296.111767,1523,2326.38999
51.097799,340,2327.492618
-275.33308,1954,2338.546012
-344.317085,1945,2341.74982
-362.859387,1607,2344.598402
-302.965172,2700,2348.836018
21.365225,414,2358.375677
-378.492586,2208,2361.821758
57.271334,414,2362.962188
-174.878429,733,2364.701495
74.0,407,2365.831711
-350.195078,2554,2369.790627
-207.512369,951,2371.782314
-263.98164,1637,2383.537638
33.812446,1486,2386.089982
-187.568036,1031,2388.072582
-168.635374,1859,2391.248987
-310.39433,1620,2394.063195
-227.814793,2700,2406.120465
2.291472,413,2407.263123
-263.141032,1319,2409.570131
-79.518639,1430,2412.15324
-374.256827,1442,2414.646281
-207.688344,1580,2417.500655
-155.890257,2700,2430.718712
-315.196501,1044,2432.689248
-286.872942,1826,2435.897465
-268.236845,1887,2438.945571
-211.551453,1367,2450.753004
-201.614258,2572,2454.714438
-291.482939,1812,2457.747507
-188.861366,1073,2459.737483
-370.339345,2700,2470.527605
-151.077873,2700,2474.921715
-197.763609,1553,2477.599454
-431.375829,2055,2480.884404
-426.19791,2700,2494.073805
-307.179021,1219,2496.271174
-368.570286,2700,2500.553836
-291.666508,2618,2504.775846
-155.465374,2213,2517.247802
